ingredients,recipe_urls,recipe_name,desc,ingredients_parsed
"['(A', 'Govt.', 'of', 'West', 'Bengal', 'Enterprises)', 'Handloom', 'Cotton', 'Ethnic', 'Wear', 'For', ""Women's-011H8B9699/BB"", '12', 'Black,saree', 'tantuja', 'bengal', 'handloom']",0.jpeg,saree tantuja bengal handloom,(A Govt. of West Bengal Enterprises) Handloom Cotton Ethnic Wear For Women's-011H8B9699/BB 12 Black,west bengal handloom cotton ethnic wear tantuja bengal handloom
"[""Women's"", 'Silk', 'Saree', 'With', 'Blouse', 'Piece,saree', 'trilok', 'fab']",1.jpeg,saree trilok fab,Women's Silk Saree With Blouse Piece,silk saree blouse trilok fab
"[""Women's"", 'Georgette', 'Net', 'Embroidered', 'Saree', 'with', 'Blouse', 'Piece', '(Black),saree', 'nine', 'sister']",2.jpeg,saree nine sister,Women's Georgette Net Embroidered Saree with Blouse Piece (Black),georgette net embroidered saree blouse nine sister
"[""Women's"", 'Crepe', 'Saree', 'with', 'Blouse', '(GLE$CHICKOO', 'CHECKS_Multicolored),saree', 'gauri', 'laxmi', 'enterprise']",3.jpeg,saree gauri laxmi enterprise,Women's Crepe Saree with Blouse (GLE$CHICKOO CHECKS_Multicolored),crepe saree blouse gauri laxmi enterprise
"[""Women's"", 'Cotton', 'Blend', 'Digital', 'Butta', 'Printed', 'Saree', 'with', 'Blouse', 'Piece,saree', 'sourbh']",4.jpeg,saree sourbh,Women's Cotton Blend Digital Butta Printed Saree with Blouse Piece,cotton blend digital butta printed saree blouse sourbh
"[""Women's"", 'Silk', 'Saree', 'With', 'Unstiched', 'Blouse', 'Piece', '(Niza', 'Fashion_Pink),saree', 'niza', 'fashion']",5.jpeg,saree niza fashion,Women's Silk Saree With Unstiched Blouse Piece (Niza Fashion_Pink),silk saree unstiched blouse niza fashion
"[""Women's"", 'Soft', 'Banarasi', 'Silk', 'Saree', 'With', 'Rich', 'Pallu', '&', 'Jacquard', 'Zari', 'Work', 'On', 'All', 'Over', 'The', 'Saree', 'With', 'Blouse-Yellow,saree', 'serraw']",6.jpeg,saree serraw,Women's Soft Banarasi Silk Saree With Rich Pallu & Jacquard Zari Work On All Over The Saree With Blouse-Yellow,banarasi silk saree rich pallu jacquard zari work over saree blouse serraw
"[""Women's"", 'Banarasi', 'Silk', 'sarees', 'with', 'blouse', 'piece', '(SUNROSE-BLUE)', 'BLUE,saree', 'nakshatra', 'tex']",7.jpeg,saree nakshatra tex,Women's Banarasi Silk sarees with blouse piece (SUNROSE-BLUE) BLUE,banarasi silk saree blouse nakshatra tex
"['Geeta', 'Handicrafts', ""Women's"", 'Ikat', 'Hand', 'Block', 'Print', 'Jaipuri', 'Cotton', 'Mulmul', 'Saree', 'with', 'Blouse', 'Piece', '-', 'Orange,saree', 'generic']",8.jpeg,saree generic,Geeta Handicrafts Women's Ikat Hand Block Print Jaipuri Cotton Mulmul Saree with Blouse Piece - Orange,geeta handicraft ikat hand block print jaipuri cotton mulmul saree blouse generic
"[""Women's"", 'Khadi', 'Cotton', 'Saree', 'With', 'Blouse', 'Piece', '(A43', 'YELLOW', '_Yellow),saree', 'rajeshwar', 'fashion', 'with', 'rf']",9.jpeg,saree rajeshwar fashion with rf,Women's Khadi Cotton Saree With Blouse Piece (A43 YELLOW _Yellow),khadi cotton saree blouse rajeshwar fashion rf
"['Better', 'Buy', ""Women's"", 'Green', 'and', 'Pink', 'Color', 'Banarasi', 'Silk', 'Saree,saree', 'betterbuy']",10.jpeg,saree betterbuy,Better Buy Women's Green and Pink Color Banarasi Silk Saree,better buy pink color banarasi silk betterbuy
"[""Women's"", 'Georgette', 'Sequence', 'Saree', 'with', 'Blouse', 'Piece', '(White),saree', 'fashion', 'eye']",11.jpeg,saree fashion eye,Women's Georgette Sequence Saree with Blouse Piece (White),georgette sequence saree blouse fashion eye
"[""Women's"", 'Plain', 'Weave', 'Cotton', 'Saree', 'With', 'Blouse', 'Piece', '(AURA', 'SAREE', 'PISTA-AK_Pista', 'Green),saree', 'aika']",12.jpeg,saree aika,Women's Plain Weave Cotton Saree With Blouse Piece (AURA SAREE PISTA-AK_Pista Green),weave cotton saree blouse saree pista aika
"[""Women's"", 'Kasavu', 'Cotton', 'Saree', 'with', 'Blouse', 'Piece', '(KKA00621_White),saree', 'generic']",13.jpeg,saree generic,Women's Kasavu Cotton Saree with Blouse Piece (KKA00621_White),kasavu cotton saree blouse generic
"[""Women's"", 'Blue', 'Color', 'Cotton', 'Silk', 'Checkered', 'Saree', 'With', 'Blouse', 'Piece', '(FOLK', 'BLUE_Free', 'Size),saree', 'anni', 'designer']",14.jpeg,saree anni designer,Women's Blue Color Cotton Silk Checkered Saree With Blouse Piece (FOLK BLUE_Free Size),blue color cotton silk checkered saree blouse anni designer
"[""Women's"", 'Striped', 'Zari', 'Woven', 'Linen', 'Silk', 'Saree', 'with', 'Tassels', '(5', 'COLORS),saree', 'nk', 'textiles']",15.jpeg,saree nk textiles,Women's Striped Zari Woven Linen Silk Saree with Tassels (5 COLORS),striped zari woven linen silk saree tassel nk textile
"[""Women's"", 'Georgette', 'Printed', 'Saree', 'with', 'Blouse,saree', 'siril']",16.jpeg,saree siril,Women's Georgette Printed Saree with Blouse,georgette printed saree siril
"['Checkered', 'Fashion', 'Art', 'Silk', 'Saree,saree', 'divya', 'kamal']",17.jpeg,saree divya kamal,Checkered Fashion Art Silk Saree,checkered fashion art silk divya kamal
"['Silk', 'Saree', 'with', 'Blouse', 'Piece,saree', 'gosriki']",18.jpeg,saree gosriki,Silk Saree with Blouse Piece,silk saree blouse gosriki
"['Contrast', 'Summer', 'Cotton', 'Saree', 'w/o', 'BP,', 'Anarkali,', 'Green,saree', 'kt']",19.jpeg,saree kt,"Contrast Summer Cotton Saree w/o BP, Anarkali, Green",contrast summer cotton saree kt
"['Georgette', 'with', 'Blouse', 'Piece', 'Saree', '(Pack', 'of', '2)', '(Combo_1152_1_1287_Multi_One', 'Size),saree', 'kashvi', 'sarees']",20.jpeg,saree kashvi sarees,Georgette with Blouse Piece Saree (Pack of 2) (Combo_1152_1_1287_Multi_One Size),georgette blouse saree kashvi saree
"[""Women's"", 'Polyester', 'Georgette', 'Printed', 'Chiffon', 'Saree', 'with', 'Blouse', 'Piece', '(Empress1019,', 'Rolex3109,', 'Yellow', 'and', 'Pink,', 'One', 'Size),saree', 'vaamsi']",21.jpeg,saree vaamsi,"Women's Polyester Georgette Printed Chiffon Saree with Blouse Piece (Empress1019, Rolex3109, Yellow and Pink, One Size)",polyester georgette printed chiffon saree blouse one vaamsi
"['Striped', 'Dharmavaram', 'Cotton', 'Silk', 'Saree', '(Magenta,', 'Beige)', 'With', 'Matching', 'Blouse', 'Piece,saree', 'silknest']",22.jpeg,saree silknest,"Striped Dharmavaram Cotton Silk Saree (Magenta, Beige) With Matching Blouse Piece",striped dharmavaram cotton silk saree matching blouse silknest
"['Khadi', 'Organza', 'Silk', 'With', 'Heavy', 'Embrodery', 'Work', 'Bollywood', 'Styel', 'Women', 'Fancy', 'Blue', 'Sarees,saree', 'rosebud']",23.jpeg,saree rosebud,Khadi Organza Silk With Heavy Embrodery Work Bollywood Styel Women Fancy Blue Sarees,khadi organza silk embrodery work bollywood styel woman fancy blue rosebud
"[""Women's"", '&', ""Girl's"", 'Chanderi', 'Chanderi', 'Saree', 'With', 'Blouse', 'Piece,saree', 'krishna', 'fashion']",24.jpeg,saree krishna fashion,Women's & Girl's Chanderi Chanderi Saree With Blouse Piece,chanderi chanderi saree blouse krishna fashion
"[""Women's"", 'Art', 'Silk', 'Saree', 'With', 'Blouse', 'Piece(Free', 'Size),saree', 'dhruvi', 'trendz']",25.jpeg,saree dhruvi trendz,Women's Art Silk Saree With Blouse Piece(Free Size),art silk saree blouse dhruvi trendz
"['Fashdeal', 'Womens', 'Chanderi', 'Cotton', 'Silk', 'Sarees', 'With', 'Blouse', 'Piece(MonicaVariant),saree', 'generic']",26.jpeg,saree generic,Fashdeal Womens Chanderi Cotton Silk Sarees With Blouse Piece(MonicaVariant),fashdeal woman chanderi cotton silk saree blouse generic
"['georgette', 'with', 'blouse', 'piece', 'Saree', '(FD-SR-10105_', 'Grey_', 'Free', 'Size),saree', 'fab', 'dadu']",27.jpeg,saree fab dadu,georgette with blouse piece Saree (FD-SR-10105_ Grey_ Free Size),georgette blouse saree sr fab dadu
"['Womens', 'Royal', 'Blue', 'Net', 'Butterfly', 'Embroidery', 'Saree', 'With', 'Unstitched', 'Lace', 'Blouse', 'Piece.,saree', 'karmi']",28.jpeg,saree karmi,Womens Royal Blue Net Butterfly Embroidery Saree With Unstitched Lace Blouse Piece.,woman royal blue net butterfly embroidery saree unstitched lace blouse karmi
"['Banarasi', 'Silk', 'Sarees', 'For', 'Women', 'Cotton', 'Silk', 'With', 'Blouse', 'Piece,saree', 'mahant', 'fashion']",29.jpeg,saree mahant fashion,Banarasi Silk Sarees For Women Cotton Silk With Blouse Piece,banarasi silk saree woman cotton silk blouse mahant fashion
"['Meldi', 'Enterprises', 'Diamond', 'Sarees,saree', 'shree']",30.jpeg,saree shree,Meldi Enterprises Diamond Sarees,meldi enterprise diamond shree
"['Embroidered', 'Fashion', 'Cotton', 'Blend', 'Saree,saree', 'v', 'and', 'v', 'shop']",31.jpeg,saree v and v shop,Embroidered Fashion Cotton Blend Saree,embroidered fashion cotton blend v v shop
"['Women', 'Saree,saree', 'anni', 'designer']",32.jpeg,saree anni designer,Women Saree,woman anni designer
